date,open,high,low,close,adjusted,volume
2011-08-11,688000 ,725000 ,688000 ,708000 ,708000 ,794832 
2011-08-12,721000 ,722000 ,700000 ,707000 ,707000 ,677828 
2011-08-15,721000 ,722000 ,700000 ,707000 ,707000 ,677828 
2011-08-16,735000 ,750000 ,726000 ,750000 ,750000 ,601622 
2011-08-17,751000 ,760000 ,741000 ,752000 ,752000 ,293405 
2011-08-18,748000 ,749000 ,703000 ,709000 ,709000 ,708503 
2011-08-19,688000 ,697000 ,672000 ,680000 ,680000 ,580713 
2011-08-22,684000 ,702000 ,683000 ,691000 ,691000 ,418952 
2011-08-23,700000 ,735000 ,699000 ,723000 ,723000 ,492913 
2011-08-24,724000 ,735000 ,700000 ,708000 ,708000 ,370403 
2011-08-25,737000 ,738000 ,721000 ,725000 ,725000 ,381135 
2011-08-26,717000 ,734000 ,717000 ,726000 ,726000 ,212815 
2011-08-29,742000 ,742000 ,724000 ,733000 ,733000 ,260440 
2011-08-30,741000 ,748000 ,736000 ,742000 ,742000 ,252964 
2011-08-31,747000 ,747000 ,731000 ,744000 ,744000 ,290229 
2011-09-01,759000 ,788000 ,744000 ,771000 ,771000 ,717411 
2011-09-02,765000 ,781000 ,763000 ,769000 ,769000 ,258682 
2011-09-05,755000 ,756000 ,730000 ,731000 ,731000 ,277488 
2011-09-06,726000 ,736000 ,710000 ,727000 ,727000 ,264505 
2011-09-07,733000 ,778000 ,733000 ,773000 ,773000 ,351504 
2011-09-08,780000 ,802000 ,778000 ,798000 ,798000 ,574914 
2011-09-09,785000 ,812000 ,777000 ,780000 ,780000 ,361802 
2011-09-12,785000 ,812000 ,777000 ,780000 ,780000 ,361802 
2011-09-13,785000 ,812000 ,777000 ,780000 ,780000 ,361802 
2011-09-14,780000 ,781000 ,741000 ,753000 ,753000 ,551101 
2011-09-15,784000 ,784000 ,765000 ,771000 ,771000 ,426593 
2011-09-16,794000 ,811000 ,792000 ,798000 ,798000 ,476632 
2011-09-19,800000 ,814000 ,788000 ,808000 ,808000 ,246920 
2011-09-20,811000 ,818000 ,796000 ,811000 ,811000 ,281014 
2011-09-21,819000 ,828000 ,801000 ,813000 ,813000 ,341563 
2011-09-22,796000 ,800000 ,778000 ,790000 ,790000 ,307008 
2011-09-23,764000 ,780000 ,751000 ,758000 ,758000 ,437123 
2011-09-26,760000 ,787000 ,759000 ,775000 ,775000 ,480907 
2011-09-27,805000 ,805000 ,791000 ,804000 ,804000 ,331600 
2011-09-28,824000 ,825000 ,791000 ,807000 ,807000 ,486551 
2011-09-29,804000 ,848000 ,804000 ,837000 ,837000 ,553981 
2011-09-30,830000 ,840000 ,811000 ,840000 ,840000 ,516023 
2011-10-03,830000 ,840000 ,811000 ,840000 ,840000 ,516023 
2011-10-04,805000 ,832000 ,796000 ,828000 ,828000 ,658616 
2011-10-05,824000 ,850000 ,817000 ,842000 ,842000 ,644036 
2011-10-06,874000 ,879000 ,842000 ,855000 ,855000 ,600160 
2011-10-07,865000 ,881000 ,850000 ,860000 ,860000 ,530423 
2011-10-10,878000 ,885000 ,872000 ,874000 ,874000 ,345316 
2011-10-11,885000 ,885000 ,869000 ,881000 ,881000 ,459031 
2011-10-12,872000 ,899000 ,870000 ,898000 ,898000 ,432600 
2011-10-13,898000 ,899000 ,881000 ,890000 ,890000 ,325563 
2011-10-14,871000 ,894000 ,871000 ,886000 ,886000 ,217319 
2011-10-17,890000 ,895000 ,881000 ,890000 ,890000 ,213700 
2011-10-18,875000 ,893000 ,871000 ,883000 ,883000 ,277012 
2011-10-19,885000 ,886000 ,870000 ,886000 ,886000 ,214254 
2011-10-20,886000 ,920000 ,883000 ,907000 ,907000 ,569192 
2011-10-21,920000 ,925000 ,907000 ,917000 ,917000 ,466429 
2011-10-24,913000 ,943000 ,911000 ,941000 ,941000 ,376214 
2011-10-25,936000 ,951000 ,935000 ,945000 ,945000 ,365737 
2011-10-26,933000 ,946000 ,927000 ,934000 ,934000 ,250360 
2011-10-27,929000 ,939000 ,919000 ,924000 ,924000 ,349475 
2011-10-28,928000 ,946000 ,927000 ,945000 ,945000 ,537992 
2011-10-31,941000 ,970000 ,933000 ,968000 ,968000 ,476217 
2011-11-01,968000 ,999000 ,962000 ,990000 ,990000 ,620094 
2011-11-02,970000 ,978000 ,966000 ,971000 ,971000 ,569636 
2011-11-03,962000 ,971000 ,958000 ,967000 ,967000 ,328782 
2011-11-04,983000 ,1005000 ,982000 ,1005000 ,1005000 ,535139 
2011-11-07,996000 ,1000000 ,986000 ,993000 ,993000 ,280586 
2011-11-08,986000 ,990000 ,965000 ,970000 ,970000 ,341584 
2011-11-09,970000 ,988000 ,966000 ,985000 ,985000 ,386372 
2011-11-10,967000 ,973000 ,935000 ,935000 ,935000 ,624218 
2011-11-11,945000 ,984000 ,930000 ,983000 ,983000 ,486576 
2011-11-14,988000 ,1002000 ,987000 ,996000 ,996000 ,282989 
2011-11-15,986000 ,1000000 ,980000 ,996000 ,996000 ,234838 
2011-11-16,995000 ,1003000 ,973000 ,975000 ,975000 ,339267 
2011-11-17,982000 ,992000 ,961000 ,980000 ,980000 ,259445 
2011-11-18,971000 ,977000 ,962000 ,963000 ,963000 ,326670 
2011-11-21,951000 ,960000 ,942000 ,950000 ,950000 ,256942 
2011-11-22,950000 ,971000 ,943000 ,963000 ,963000 ,241829 
2011-11-23,948000 ,960000 ,935000 ,935000 ,935000 ,307043 
2011-11-24,922000 ,953000 ,921000 ,943000 ,943000 ,273680 
2011-11-25,929000 ,953000 ,929000 ,947000 ,947000 ,233962 
2011-11-28,959000 ,982000 ,958000 ,978000 ,978000 ,315940 
2011-11-29,990000 ,1005000 ,986000 ,1005000 ,1005000 ,552503 
2011-11-30,1000000 ,1010000 ,996000 ,1004000 ,1004000 ,394423 
2011-12-01,1035000 ,1080000 ,1029000 ,1074000 ,1074000 ,694628 
2011-12-02,1061000 ,1071000 ,1040000 ,1050000 ,1050000 ,439388 
2011-12-05,1069000 ,1073000 ,1058000 ,1066000 ,1066000 ,297501 
2011-12-06,1057000 ,1070000 ,1041000 ,1044000 ,1044000 ,292758 
2011-12-07,1050000 ,1068000 ,1041000 ,1056000 ,1056000 ,395486 
2011-12-08,1057000 ,1083000 ,1046000 ,1064000 ,1064000 ,521081 
2011-12-09,1049000 ,1074000 ,1037000 ,1053000 ,1053000 ,276388 
