Date,Open,High,Low,Close,Volume,Adjusted
2013-08-09,1229000 ,1241000 ,1220000 ,1230000 ,241604 ,1230000 
2013-08-12,1230000 ,1248000 ,1225000 ,1232000 ,202812 ,1232000 
2013-08-13,1244000 ,1290000 ,1242000 ,1290000 ,418589 ,1290000 
2013-08-14,1289000 ,1300000 ,1285000 ,1300000 ,260102 ,1300000 
2013-08-15,1289000 ,1300000 ,1285000 ,1300000 ,260102 ,1300000 
2013-08-16,1286000 ,1301000 ,1282000 ,1295000 ,228332 ,1295000 
2013-08-19,1286000 ,1296000 ,1280000 ,1286000 ,129997 ,1286000 
2013-08-20,1296000 ,1305000 ,1269000 ,1269000 ,284619 ,1269000 
2013-08-21,1265000 ,1282000 ,1256000 ,1256000 ,246921 ,1256000 
2013-08-22,1250000 ,1267000 ,1245000 ,1255000 ,239697 ,1255000 
2013-08-23,1280000 ,1300000 ,1271000 ,1295000 ,344068 ,1295000 
2013-08-26,1301000 ,1305000 ,1296000 ,1300000 ,230393 ,1300000 
2013-08-27,1307000 ,1309000 ,1295000 ,1304000 ,182616 ,1304000 
2013-08-28,1284000 ,1310000 ,1284000 ,1309000 ,189851 ,1309000 
2013-08-29,1317000 ,1348000 ,1314000 ,1344000 ,326300 ,1344000 
2013-08-30,1360000 ,1368000 ,1351000 ,1368000 ,342716 ,1368000 
2013-09-02,1368000 ,1371000 ,1350000 ,1351000 ,201632 ,1351000 
2013-09-03,1364000 ,1364000 ,1326000 ,1337000 ,235970 ,1337000 
2013-09-04,1330000 ,1354000 ,1321000 ,1340000 ,218401 ,1340000 
2013-09-05,1370000 ,1371000 ,1358000 ,1365000 ,302002 ,1365000 
2013-09-06,1370000 ,1375000 ,1358000 ,1369000 ,238759 ,1369000 
2013-09-09,1371000 ,1375000 ,1363000 ,1373000 ,185831 ,1373000 
2013-09-10,1369000 ,1396000 ,1368000 ,1396000 ,294353 ,1396000 
2013-09-11,1398000 ,1402000 ,1385000 ,1402000 ,267060 ,1402000 
2013-09-12,1405000 ,1424000 ,1395000 ,1410000 ,436108 ,1410000 
2013-09-13,1409000 ,1410000 ,1396000 ,1406000 ,245630 ,1406000 
2013-09-16,1423000 ,1425000 ,1411000 ,1425000 ,234214 ,1425000 
2013-09-17,1420000 ,1420000 ,1381000 ,1386000 ,343627 ,1386000 
2013-09-18,1420000 ,1420000 ,1381000 ,1386000 ,343627 ,1386000 
2013-09-19,1420000 ,1420000 ,1381000 ,1386000 ,343627 ,1386000 
2013-09-20,1420000 ,1420000 ,1381000 ,1386000 ,343627 ,1386000 
2013-09-23,1365000 ,1381000 ,1353000 ,1360000 ,487258 ,1360000 
2013-09-24,1342000 ,1379000 ,1338000 ,1373000 ,302778 ,1373000 
2013-09-25,1367000 ,1374000 ,1351000 ,1364000 ,223529 ,1364000 
2013-09-26,1364000 ,1372000 ,1356000 ,1372000 ,207494 ,1372000 
2013-09-27,1375000 ,1377000 ,1363000 ,1366000 ,232265 ,1366000 
2013-09-30,1366000 ,1382000 ,1360000 ,1367000 ,233018 ,1367000 
2013-10-01,1380000 ,1383000 ,1360000 ,1382000 ,195463 ,1382000 
2013-10-02,1398000 ,1425000 ,1390000 ,1418000 ,351727 ,1418000 
2013-10-03,1398000 ,1425000 ,1390000 ,1418000 ,351727 ,1418000 
2013-10-04,1438000 ,1442000 ,1414000 ,1418000 ,315074 ,1418000 
2013-10-07,1437000 ,1437000 ,1425000 ,1436000 ,204565 ,1436000 
2013-10-08,1417000 ,1433000 ,1417000 ,1430000 ,210920 ,1430000 
2013-10-09,1417000 ,1433000 ,1417000 ,1430000 ,210920 ,1430000 
2013-10-10,1421000 ,1432000 ,1421000 ,1430000 ,276380 ,1430000 
2013-10-11,1440000 ,1447000 ,1436000 ,1443000 ,225083 ,1443000 
2013-10-14,1448000 ,1449000 ,1438000 ,1438000 ,147474 ,1438000 
2013-10-15,1450000 ,1457000 ,1445000 ,1457000 ,200473 ,1457000 
2013-10-16,1469000 ,1469000 ,1445000 ,1450000 ,160212 ,1450000 
2013-10-17,1460000 ,1468000 ,1454000 ,1463000 ,181987 ,1463000 
2013-10-18,1472000 ,1475000 ,1463000 ,1472000 ,157043 ,1472000 
2013-10-21,1475000 ,1489000 ,1454000 ,1464000 ,142521 ,1464000 
2013-10-22,1460000 ,1460000 ,1434000 ,1455000 ,247065 ,1455000 
2013-10-23,1464000 ,1464000 ,1436000 ,1442000 ,171969 ,1442000 
2013-10-24,1431000 ,1449000 ,1429000 ,1449000 ,178313 ,1449000 
2013-10-25,1450000 ,1452000 ,1433000 ,1449000 ,134706 ,1449000 
2013-10-28,1465000 ,1485000 ,1458000 ,1482000 ,226154 ,1482000 
2013-10-29,1490000 ,1490000 ,1478000 ,1490000 ,206698 ,1490000 
2013-10-30,1485000 ,1500000 ,1484000 ,1500000 ,211768 ,1500000 
2013-10-31,1498000 ,1502000 ,1465000 ,1465000 ,252941 ,1465000 
2013-11-01,1490000 ,1500000 ,1468000 ,1500000 ,227154 ,1500000 
2013-11-04,1492000 ,1502000 ,1489000 ,1499000 ,217756 ,1499000 
2013-11-05,1502000 ,1502000 ,1472000 ,1485000 ,160186 ,1485000 
2013-11-06,1498000 ,1498000 ,1449000 ,1451000 ,244368 ,1451000 
2013-11-07,1451000 ,1454000 ,1425000 ,1437000 ,260136 ,1437000 
2013-11-08,1411000 ,1428000 ,1407000 ,1410000 ,273627 ,1410000 
2013-11-11,1425000 ,1434000 ,1409000 ,1428000 ,171277 ,1428000 
2013-11-12,1440000 ,1466000 ,1436000 ,1456000 ,195698 ,1456000 
2013-11-13,1445000 ,1449000 ,1419000 ,1419000 ,199904 ,1419000 
2013-11-14,1455000 ,1455000 ,1424000 ,1424000 ,202643 ,1424000 
2013-11-15,1434000 ,1462000 ,1432000 ,1462000 ,166785 ,1462000 
2013-11-18,1470000 ,1476000 ,1465000 ,1474000 ,127736 ,1474000 
2013-11-19,1483000 ,1489000 ,1477000 ,1489000 ,163671 ,1489000 
2013-11-20,1473000 ,1487000 ,1464000 ,1470000 ,163563 ,1470000 
2013-11-21,1472000 ,1472000 ,1432000 ,1440000 ,180396 ,1440000 
2013-11-22,1441000 ,1456000 ,1431000 ,1450000 ,171492 ,1450000 
2013-11-25,1451000 ,1472000 ,1451000 ,1465000 ,132306 ,1465000 
2013-11-26,1458000 ,1479000 ,1455000 ,1479000 ,171725 ,1479000 
2013-11-27,1467000 ,1476000 ,1460000 ,1470000 ,187034 ,1470000 
2013-11-28,1480000 ,1494000 ,1479000 ,1494000 ,212898 ,1494000 
2013-11-29,1499000 ,1499000 ,1485000 ,1494000 ,135044 ,1494000 
2013-12-02,1500000 ,1503000 ,1467000 ,1467000 ,149756 ,1467000 
2013-12-03,1464000 ,1478000 ,1457000 ,1461000 ,155972 ,1461000 
2013-12-04,1450000 ,1453000 ,1431000 ,1432000 ,216880 ,1432000 
2013-12-05,1433000 ,1446000 ,1422000 ,1440000 ,209593 ,1440000 
2013-12-06,1454000 ,1454000 ,1428000 ,1428000 ,182949 ,1428000 
2013-12-09,1440000 ,1454000 ,1440000 ,1454000 ,139938 ,1454000 
